word,count,mean_attribution,std_attribution,median_attribution,total_attribution
same,10,4.479951,7.1996703,10.111686,44.79951
superficiality,7,4.453708,0.58454,4.5456448,31.175957
invisible,5,4.433507,0.55175954,4.6553226,22.167536
observe,10,4.341647,2.573899,3.2443225,43.41647
navigate,5,4.284549,0.30402306,4.2660127,21.422747
london,10,4.277077,13.772706,5.712229,42.77077
chilling,7,4.2686753,0.52719045,4.525548,29.880726
to,728,4.244793,13.014258,-3.3577754,3090.2092
course,10,4.218712,8.054364,10.293795,42.18712
utterly,9,4.1583424,5.348448,5.690317,37.425083
business,5,4.091657,8.568466,10.769268,20.458286
always,20,4.0664577,5.960934,7.5375495,81.329155
conscious,11,4.0664463,0.5850955,4.1445284,44.73091
relentless,18,4.0569916,1.2224861,3.8737988,73.02585
embrace,5,4.0151815,0.5292289,4.02984,20.075909
herself,23,4.0102067,6.4702663,7.9905734,92.23476
overt,7,3.9454963,0.5093419,3.956175,27.618475
communities,5,3.9204392,0.50637764,4.065512,19.602196
instead,5,3.8922324,10.526484,-3.0816114,19.461163
true,9,3.8829727,0.8177436,4.154754,34.946754
acceptance,5,3.85551,1.0942146,4.121619,19.27755
insidious,18,3.8236983,2.632828,3.2513518,68.82657
anything,5,3.822435,5.257564,6.1899652,19.112175
perpetual,6,3.7799733,3.8361344,2.1677036,22.67984
polite,5,3.7732654,0.9151333,3.179819,18.866327
identity,15,3.759228,1.9552741,3.3889325,56.38842
resolved,6,3.7556858,0.58829725,3.6950197,22.534115
possible,5,3.7513993,2.6104758,5.463045,18.756996
and,815,3.713757,22.642426,-9.69668,3026.712
hand,11,3.7064445,12.656347,-7.048624,40.77089
spatial,5,3.684283,0.93968725,3.9141338,18.421415
deliberate,9,3.6837316,0.66790867,3.4689221,33.153584
considerable,12,3.6479797,2.857343,2.7914302,43.775757
lady,26,3.637546,13.55929,-7.0335264,94.576195
pursuit,16,3.631496,2.370841,4.2365484,58.103935
your,7,3.6266809,10.162233,12.253121,25.386766
according,8,3.6065993,8.9979925,3.6780474,28.852795
solely,9,3.5949898,0.6783195,3.4051886,32.354908
maintaining,6,3.53698,0.61220926,3.6865156,21.22188
exploration,5,3.5333962,0.7197842,3.1887445,17.66698
with,183,3.527435,14.796542,-5.2586093,645.5206
time,21,3.5167835,13.623297,-7.4945064,73.852455
pleasure,9,3.5130758,0.20518975,3.535079,31.617683
advantageous,8,3.4916627,0.35877433,3.5177035,27.933302
vital,7,3.4874284,0.36710304,3.448848,24.411999
women,5,3.465334,11.740779,0.9792266,17.32667
desire,10,3.4107769,3.1514826,4.5768003,34.10777
fostering,17,3.4068995,0.88682675,3.401328,57.91729
in,372,3.405704,18.188663,-8.2969265,1266.9219
cultivate,7,3.3800826,0.65540123,3.3638859,23.660578
that,305,3.3544443,14.263658,-6.9530067,1023.10547
occasion,5,3.350079,0.9525829,3.8418593,16.750395
